STATE_FIPS,population,covid_cases,covid_deaths,POP13_SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,Prevalence of obesity,Hypertension,Diabetes,CVD,HIV/AIDS
1,4903185,0.6038970587485482,0.01532412095403294,89.75970149253732,0.6680135462969478,0.25520370942560805,0.0057550347376246255,0.010930650179424191,0.0006234722940292891,0.03785335450324636,0.019764703962832322,0.014531574884488347,0.4732001749882984,0.5016225167926562,0.062195695247069,0.06286301659023676,0.06519333861561413,0.07005058956576185,0.06838860862888102,0.12418907302090376,0.12634665018758215,0.14151087507405902,0.1199287809862365,0.07556333281326322,0.0431570499583434,0.015435681093003834,0.38419741453769335,2.466716417910448,0.04690604168514955,0.058473624796943215,0.07802295854633264,0.10605249445003605,0.009363301609056154,0.03823779849220456,0.26032874549909907,2.999253731343284,0.4429473903187418,0.058749975781048444,0.26770130027726874,0.1164961142604246,0.2629213460230442,0.000923484907871108,0.10565683326246103,0.0029074566835638467,0.0012149245847342086
2,723231,0.12119087815649496,0.0018196122677263558,8.139285714285714,0.6545280830052915,0.03216399739502317,0.13520714681754514,0.052703769611645516,0.010244306452571862,0.05425928921741463,0.015346410759494547,0.07151795207893467,0.5056254502365081,0.46608621588399834,0.07341084660364393,0.06921440037830237,0.06907198391661862,0.07095934770495181,0.07424322242824215,0.14141816376786948,0.12747656004789618,0.15242432915624468,0.11808951773361485,0.048540507804560366,0.020405651859502705,0.006457134719059333,0.3543999081897762,2.634642857142857,0.051856184262013105,0.03913825596524485,0.0847142890722328,0.09065983067650585,0.01382960630835791,0.02740203337522866,0.23413128032399053,3.222857142857143,0.42141998891087357,0.06702008072109741,0.2233283694974358,0.13107153869234034,0.240191584708067,-0.0038328003086150896,0.05854146185658524,-0.0038328003086150896,-0.0038328003086150896
4,7278717,0.7466898355850351,0.01796333062543852,53.50000000000001,0.6412010523283156,0.03558429322090693,0.04073918521629567,0.024275569444450168,0.0017376688776332423,0.2603685512158255,0.10464976176433292,0.029991549334862175,0.4363163178345854,0.4418627623522112,0.06260924830571102,0.062329666066148745,0.06164053362701146,0.06341529695411979,0.060805221579572334,0.11769835260802144,0.11299985972802624,0.11575474084237648,0.09977417723480662,0.06840381347427026,0.038542369486270725,0.014205800280461516,0.32711671576185747,2.666,0.039652730007225176,0.04566560288028783,0.06902466464900339,0.08842561127187662,0.01159393887686525,0.027673146242668867,0.21659311661656855,3.198,0.390800466620697,0.06368375085883955,0.2159291259709644,0.11118758979089309,0.19276034498937106,0.0010661009462244512,0.06755517490239007,0.0016593990252677774,0.0003073343832436403
5,3017804,0.46560677896907815,0.0064745755522890155,53.83733333333336,0.7439943084441535,0.14908025836005254,0.007372248164559395,0.011963003561530173,0.0019428034425032243,0.06165078977958807,0.032994521844361,0.01889122023829248,0.47439694559355083,0.49184141846190144,0.0655075677545659,0.06523849792763214,0.06546449007291395,0.06753420699289947,0.06615737801394657,0.12455812239628551,0.12134916647999672,0.13495442381281222,0.11630675815924427,0.07773930977624789,0.04439552734372411,0.017032915325183477,0.38010553369271166,2.443733333333335,0.04653350582078889,0.05645263907132471,0.07841695484531136,0.10989116589414025,0.01065410477287458,0.034706694006635286,0.25707799446219837,2.9576,0.4361777636983714,0.056072230005659744,0.254541381746462,0.12556415194624965,0.24975942771631293,0.0014713441031955687,0.09776645534302426,0.0027997908184229318,0.0010769420412989048
6,39512223,0.45762011416062315,0.012412057909270253,667.1568965517241,0.5429695514727177,0.05818634906975494,0.009181994138876975,0.1230253990012154,0.00365421100199804,0.3546679466756401,0.15988399336579975,0.04594487128704452,0.46866079896339924,0.47418557037400805,0.06406455541618096,0.06341933735289963,0.06557287348778124,0.07147003599367213,0.07000236357240644,0.13458815010231137,0.13116725930606335,0.1329302833707939,0.10215808409463573,0.057585623567674236,0.03467812985364048,0.015209673219347845,0.3183191692353022,2.7101724137931034,0.03320182719155032,0.04093831926388956,0.08044490435276193,0.07680542297000095,0.010836874452748457,0.026342835734653552,0.2187291006127395,3.212068965517241,0.34622402794193585,0.02790485870663364,0.17805556017437946,0.14026360906092275,0.1745232101975128,0.0012288923365562096,0.06312684558396019,0.0019063421580709347,0.00015354742252796054
8,5758736,0.5024501904584617,0.025007397456664103,150.69999999999987,0.7100867273651718,0.03503147218417375,0.00972609267033599,0.02414210340602521,0.0011500787672850431,0.18036718474331867,0.06323262604849397,0.02994684944751765,0.43771098379922263,0.43560496608978083,0.05972838484000656,0.06053463815670661,0.05776510678732277,0.05894956809966632,0.06053672194731621,0.12611760636361868,0.12149263310559817,0.12896892651442957,0.1037804129239472,0.0538243114461229,0.029529396728726582,0.012088242975541855,0.34258698436601365,2.368125000000001,0.045389127058437825,0.05025582002717263,0.07739910285868287,0.09128322604127016,0.009707512204067004,0.02349734386156962,0.21906317636370204,2.9209375,0.3842680060346576,0.04168102166864395,0.22454580310679287,0.11804118125922078,0.1565416438607361,0.0004372263277913766,0.04547265233203953,0.001439448690302872,0.0004490568763700923
9,3565287,1.1929446353126691,0.10623773065113692,707.6125,0.7776120127215564,0.10161762573391707,0.0031571090910773804,0.03802358688094395,0.00040052876528593633,0.1343754373771312,0.055666205834200726,0.02599398028826291,0.4879309856401462,0.5145400636750982,0.056687161510419776,0.062427232365865636,0.06739008668867331,0.07035450441998077,0.06392136173048621,0.1179083198631695,0.13587629831763895,0.1614447869133677,0.12438044959634385,0.07150728679065668,0.0467611723824758,0.02381238873616626,0.3845656745165256,2.495,0.04429461078448944,0.060507050344053646,0.08445042432769087,0.10403734678302196,0.008534516295602571,0.03134866842416894,0.2548633532167256,3.0337500000000004,0.41732713243001196,0.03276145791348635,0.2595263719302261,0.1250393025862995,0.19733979340232638,0.0007408631049898647,0.06851510130881469,0.0018697476194763562,0.00031133538478108496
10,973764,0.9979409795391901,0.039055664411500116,583.8,0.6352843194038802,0.19698202028417564,0.004293648152940548,0.02931819208761055,0.0004107771492887394,0.07519378412017697,0.03134126954785759,0.02449669529783397,0.4466575063362375,0.47546941558734973,0.05739172941287622,0.05800789513680933,0.05837964845691564,0.06632305158128664,0.06456081761083794,0.11441889410575869,0.11921471732370471,0.13715232849027073,0.11391774598362642,0.07440509199354259,0.042186813231953536,0.01616818859600478,0.35151946467521905,2.5466666666666664,0.03793013502244897,0.051923258612969876,0.07014122518392547,0.09959189290218164,0.010093821500897548,0.03234870050648823,0.23694755608135032,3.03,0.41682070809764993,0.06530124342243089,0.25337145345278733,0.09814801122243172,0.2293984990202965,0.000856739680251067,0.08550223668157787,0.0020476688848632732,0.0010382392448272887
11,705749,1.2629589273240203,0.0641956276239853,9996.6,0.3279792107392288,0.4323420932937914,0.002945806511946882,0.029834969656350914,0.0004279141734526014,0.07757573868329959,0.034536357826932804,0.024535635190414722,0.40272391459286516,0.449878072799253,0.04621047992983341,0.037048582428030365,0.0354814530378364,0.05656260228494833,0.09083966112598105,0.17675547538855882,0.1142885076705741,0.10726618103603405,0.09065120885754001,0.05238264595486497,0.030499511866116706,0.014615677811799946,0.37790630946696346,2.11,0.07362957652083106,0.0927624410378194,0.03244212885884358,0.05067382312975293,0.0065150641375333156,0.03820621779131107,0.1597097551679138,3.01,0.42043134315457764,0.04252503368761415,0.15877457849745447,0.219131730969509,0.18057694732829943,0.0015459588748974497,0.061988043907961615,0.002269168126345202,-0.00014027650056889915
12,21477737,0.6094616485898864,0.013903047606924323,324.1298507462686,0.6569203263826165,0.1396730949820272,0.0033270730524356455,0.02117639302501935,0.000572034195222709,0.1966597318888857,0.03171395571144204,0.02200310954547958,0.4278548992382205,0.4475310876560226,0.04998226768490554,0.05029650004560536,0.05265205547493202,0.05719326947713346,0.05721077597700354,0.10660084905593173,0.11319879743382648,0.12764347566040127,0.1088414482401009,0.08045261006781115,0.05110114720186768,0.020212790574723957,0.3455113543852409,2.4747761194029856,0.04106414935614492,0.05306965068060941,0.06215608283125918,0.09880822174142462,0.009488988527981324,0.0295668021263134,0.2251389427107707,2.9547761194029847,0.4185534071862413,0.0730420528010004,0.23275166280320875,0.11275969158203213,0.1982977536227397,0.0008702103043723833,0.07918427346419225,0.0018246821844405672,0.00043612602202922963
